City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
401,chanute,37.6792,-95.4572,14.06,35,0,3.09,US,1680315030
402,clyde river,70.4692,-68.5914,-20.87,84,100,6.17,CA,1680315031
403,mianyang,31.4593,104.7542,17.36,70,69,1.37,CN,1680315032
404,frolovo,49.7713,43.6622,2.44,85,10,4.78,RU,1680315032
405,pocoes,-14.5297,-40.3653,17.32,95,0,1.45,BR,1680315032
406,ostrovnoy,68.0531,39.5131,-15.04,97,79,4.49,RU,1680315033
407,husavik,66.0449,-17.3389,4.49,87,100,7.33,IS,1680315033
408,benidorm,38.5382,-0.131,22.05,58,100,4.16,ES,1680315033
409,palmer,42.1584,-72.3287,5.75,84,100,2.06,US,1680315033
410,beysehir,37.6773,31.7246,3.47,52,23,2.16,TR,1680315034
411,port-cartier,50.0334,-66.8654,-2.36,89,78,2.25,CA,1680315034
412,carauari,-4.8828,-66.8958,23.5,97,100,0.45,BR,1680315034
413,biscarrosse,44.3945,-1.1672,11.97,76,75,7.72,FR,1680315035
414,lockhart,28.6194,-81.4426,24.39,68,0,5.14,US,1680315035
415,gurupa,-1.405,-51.64,22.85,99,100,1.47,BR,1680315036
416,nantucket,41.2835,-70.0995,7.08,88,100,4.12,US,1680315036
417,kalianget,-7.05,113.9333,26.21,82,100,1.3,ID,1680315037
418,dingle,10.9995,122.6711,30.2,60,100,5.63,PH,1680315037
419,yenagoa,4.9247,6.2642,23.85,90,98,1.39,NG,1680315037
420,kudat,6.8837,116.8477,27.21,76,100,2.08,MY,1680315037
421,iquique,-20.2208,-70.1431,23.02,78,49,0.48,CL,1680315038
422,fort frances,48.5999,-93.4003,-0.88,41,0,5.66,CA,1680315038
423,atambua,-9.1061,124.8925,27.3,71,100,0.25,ID,1680315038
424,butembo,0.15,29.2833,13.33,99,88,0.88,CD,1680315038
425,san jose,37.3394,-121.895,14.4,56,40,5.14,US,1680314781
426,herat,34.5,62.0,15.96,37,99,3.11,AF,1680315039
427,ahipara,-35.1667,173.1667,20.27,90,100,3.68,NZ,1680314908
428,stornoway,58.2093,-6.3865,7.98,85,20,5.14,GB,1680315040
429,wasilla,61.5814,-149.4394,3.04,58,75,3.6,US,1680315041
430,hays,30.0502,-98.0336,25.39,67,22,3.36,US,1680315041
431,xining,36.6167,101.7667,9.52,28,100,1.97,CN,1680315041
432,pachino,36.7186,15.0907,15.47,75,97,8.87,IT,1680315042
433,sabang,5.8933,95.3214,27.69,74,88,1.98,ID,1680315042
434,bathsheba,13.2167,-59.5167,25.34,83,75,7.72,BB,1680315042
435,rodeo,38.033,-122.2669,13.93,63,0,4.63,US,1680315043
436,touros,-5.1989,-35.4608,25.3,79,75,3.97,BR,1680315044
437,jennings,38.7192,-90.2604,19.03,70,20,4.63,US,1680315044
438,swellendam,-34.0226,20.4417,15.53,63,18,1.41,ZA,1680315044
439,kankan,10.3854,-9.3057,28.32,29,94,0.64,GN,1680315044
440,vangaindrano,-23.35,47.6,22.64,93,94,1.0,MG,1680315045
441,vila franca do campo,37.7167,-25.4333,16.23,95,100,3.16,PT,1680315045
442,synya,65.3718,58.0387,0.75,99,100,4.15,RU,1680315045
443,namatanai,-3.6667,152.4333,26.2,81,100,6.23,PG,1680315045
444,liverpool,53.4106,-2.9779,8.97,88,97,3.09,GB,1680314893
445,izumo,35.3667,132.7667,18.15,51,3,4.3,JP,1680315029
446,umm lajj,25.0213,37.2685,20.42,38,0,7.44,SA,1680315047
447,skjervoy,70.0311,20.9714,-2.0,61,100,7.06,NO,1680315048
448,nakamura,32.9833,132.9333,19.97,49,21,2.3,JP,1680315048
449,kuching,1.55,110.3333,28.34,80,20,0.0,MY,1680314838
450,bandarbeyla,9.4942,50.8122,26.21,78,51,1.58,SO,1680315048
451,iqaluit,63.7506,-68.5145,-18.83,99,100,0.98,CA,1680315049
452,barraute,48.4335,-77.6328,-2.51,98,100,1.84,CA,1680315049
